close,high,low,open,timestamp,volume
4326.09,4349,4154.28,4162.04,1506729600,7496.78249925
4377.22,4377.22,4216,4326.09,1506816000,7211.33513580
4391.48,4453,4352,4369.33,1506902400,8259.81863150
4315.83,4425,4218,4391.41,1506988800,12468.05725642
4219.53,4343,4170.07,4315.73,1507075200,8518.99274917
4301.09,4358.97,4137.96,4219.74,1507161600,8419.96284162
4362.95,4425,4278.4,4301.09,1507248000,8377.30164966
4423.3,4463,4312.82,4356.09,1507334400,4646.40562117
4597.98,4612,4404.5,4422.72,1507420800,10083.86684927
4764.7,4865,4541,4597.97,1507507200,12923.66661677
4749.29,4909.97,4700,4761.67,1507593600,11666.02496241
4822.01,4869.78,4700,4747.9,1507680000,9866.89562175
5445,5445,4793.66,4822.01,1507766400,19916.22801995
5653.6,5846.43,5380,5444,1507852800,27827.38028536
5801.29,5817.34,5558.26,5653.58,1507939200,8410.93623080
5679.7,5830,5415,5795.01,1508025600,11542.94583367
5745.72,5807.11,5548,5683.92,1508112000,9066.79974453
5597.31,5776.31,5506.78,5752.2,1508198400,9105.28187907
5582.05,5617.75,5101.36,5591.97,1508284800,18961.67579669
5698.69,5735.14,5512.06,5572.64,1508371200,9919.83821694
5977.29,6074,5589.8,5700,1508457600,15109.06365101
6013.46,6180,5871,5977.26,1508544000,15357.42373371
5969,6071.07,5700,6010.85,1508630400,12232.52332991
5871.17,6045.34,5617.75,5967.38,1508716800,15331.63502934
5523.4,5870,5453.01,5869.82,1508803200,17286.72373931
5735.88,5748,5366,5518.49,1508889600,12349.10670220
5890,5988,5683,5741.35,1508976000,11788.30258919
5771.89,5994.06,5674.06,5889.99,1509062400,11911.04199625
5730.69,5875.66,5646.18,5773.03,1509148800,5926.29737158
6137.37,6316.85,5683,5731.7,1509235200,16086.62569466
6119.99,6229.77,6024.03,6133.01,1509321600,9574.64365313
6434.21,6449.78,6072.81,6120,1509408000,13423.30855051
6741.59,6756.36,6340.01,6434.24,1509494400,12967.22211638
7030,7354.1,6700,6745.04,1509580800,26514.65119452
7146.82,7500,6925.22,7030,1509667200,15999.78379684
7388.83,7569.9,6994,7145.24,1509753600,9200.11461844
7372.72,7590,7275.16,7388.79,1509840000,9218.32689776
6967.68,7421.39,6922.07,7373.3,1509926400,19323.12875746
7130.28,7244.69,6945,6967.64,1510012800,11634.26529651
7450.32,7888,7080.01,7131.38,1510099200,24679.72054960
7148,7490,7061.2,7465.06,1510185600,14799.26577204
6588.18,7343.18,6429.44,7150.61,1510272000,26614.27605231
6355.13,6820,6218,6588.18,1510358400,14942.70255533
5870.37,6488.88,5555.55,6355.13,1510444800,37315.15663980
6525.17,6775.75,5846,5870.03,1510531200,27202.28180796
6609,6750,6466.88,6524.69,1510617600,12072.05308804
7294,7350,6609,6609,1510704000,16869.89791295
7846.96,7976.79,7120.85,7294,1510790400,19272.37147666
7674.99,7997,7528.5,7846.96,1510876800,17714.36787452
7771.03,7858,7431.54,7675,1510963200,7326.81014016
8016.58,8087.35,7675,7775.55,1511049600,8307.77750857
8226.17,8269.99,7900,8016.58,1511136000,8179.45772727
8095.23,8354.46,7770,8226.14,1511222400,13686.51123870
8214.69,8310.89,8045.76,8095.19,1511308800,8078.58080138
7989,8279.76,7980,8214.69,1511395200,7811.79339997
8199.19,8340,7876,7988.96,1511481600,9289.98925704
8717.99,8737,8114.78,8199.83,1511568000,11611.66637888
9271.06,9366.6,8538.2,8718,1511654400,12021.21548696
9708.07,9721.7,9267,9278.99,1511740800,13272.45254013
9868.82,9968,9582.25,9708.06,1511827200,11214.92993115
9824.68,11395,9250,9877.63,1511913600,33432.33996208
9947.67,10618.29,9000,9833.7,1512000000,25433.45836367
10840.45,10949.89,9370.11,9927.29,1512086400,16708.03224846
10872,11200,10637.69,10840.45,1512172800,9267.16105468
11250,11800.01,10513.16,10875.68,1512259200,14238.52587700
11613.07,11613.07,10850,11250,1512345600,13621.48197282
11677,11850,11384.25,11613.07,1512432000,11875.03377686
13623.5,13700,11659.8,11676.99,1512518400,19784.87348713
16599.99,16615.62,13085.9,13623,1512604800,25787.67655646
15800,16666.66,13482.42,16599.99,1512691200,25473.39531065
14607.49,15998.5,12701.05,15799.87,1512777600,16587.47292694
14691,15385,13011,14601.01,1512864000,18487.98304099
16470,17270,14677.19,14690.99,1512950400,16583.72315538
16650.01,17428.42,15967.29,16470,1513036800,13517.89210328
16250,17107.03,15497.69,16650.01,1513123200,17136.70585820
16404.99,16830.45,15852.69,16245.02,1513209600,13409.52428786
17471.5,17934,16337.19,16404.99,1513296000,18998.38813709
19187.78,19377,17269.99,17477.98,1513382400,9761.22080853
18953,19666,18465,19187.78,1513468800,9749.24915462
18940.57,19220,17835.2,18953,1513555200,14678.94144797
17700,19160.79,16831.26,18940.58,1513641600,21528.13766503
16466.98,17950,15343.04,17700,1513728000,31172.22880670
15600.01,17281.17,15005,16466.98,1513814400,20377.86043859
14009.79,15795.61,11159.93,15600,1513900800,57444.88580326
14619,15756.22,13496.48,13980,1513987200,21786.40866420
14157.87,14619.1,12488,14619,1514073600,18519.48932254
13911.28,14650,13210,14107.87,1514160000,11564.54433309
15764.44,16147.87,13746.95,13925.5,1514246400,15051.16401761
15364.93,16480.52,14484,15764.45,1514332800,15643.75488215
14470.07,15474.19,13500,15390.05,1514419200,16557.21732271
14340,15111,13998,14436.99,1514505600,13505.70299216
12640,14463.28,12050,14351,1514592000,21749.67444609
